,I,P,S,B,K,A
0,-2.0,1.35945409366892,1.115527643546598,3.0,0.5895292739408179,-0.5679334507329603
1,-2.0,1.7821980001789381,1.0941393111317284,2.0,0.6309241868109097,-1.1973644533554153
2,-2.0,0.17401515001852438,0.9440712652761256,2.0,0.33540120581114163,2.036946839091183
3,-2.0,3.1692968631765064,-0.08390417596980404,2.0,0.6321114944903141,3.07194258781658
4,-2.0,1.166552136358017,0.8809398461143777,3.0,0.5236768685350159,-4.7997664961988615
5,-2.0,-0.8121525734300401,1.0538964349797821,3.0,0.6413708925222757,4.074326590821543
6,-2.0,0.5379781305713314,0.010534133697707181,2.0,0.38254159979433255,2.0428906136747194
7,-2.0,1.1078916684489217,0.9833913632953928,2.0,0.5688621403127845,1.4767880881379956
8,-2.0,1.5255899594036708,1.1592295204247731,2.0,0.6484033288655905,-2.0797668875810778
9,-2.0,0.9904652620669787,-0.03171484375715646,2.0,0.4116089749919653,1.8771268475592957
10,-2.0,0.7420174618491814,0.8233979585168947,4.0,0.6330015971701287,-1.2585132775704557
11,-2.0,-0.5475708382347934,0.022800001357785538,4.0,0.5558936685893786,2.0519200042203636
12,-2.0,-1.7142254566618784,1.1561253941760243,3.0,0.9834210600792963,1.344821220034531
13,-2.0,0.08125094410872669,1.145543086917737,2.0,0.34095599275927213,1.1665681181175547
14,-2.0,0.5196685176623218,-0.150782574381551,2.0,0.25193778818512347,0.2593223588472814
15,-2.0,0.8216788698708425,-0.11941186029047818,3.0,0.6824093964738263,4.065278051747873
16,-2.0,0.22353797926680918,0.8226104625970748,3.0,0.768597198473667,0.8966710374333696
17,-2.0,-2.728614904828569,0.06110220845267133,2.0,0.26597559832636714,-3.508958076984064
18,-2.0,-0.8078892496678671,0.11294904586859937,2.0,0.6992095190188994,1.7342663933882791
19,-2.0,0.8088257827201771,1.0620666518351207,4.0,0.8533018722763143,6.242442966137366
20,-2.0,1.9822598916235195,1.0040844426632474,3.0,0.46567976120659926,1.4524626428249356
21,-2.0,-0.35226814538445383,1.054652475798976,3.0,0.821125558421915,-0.5712642194699524
22,-2.0,-0.11224330661397564,-0.013895023468056754,2.0,0.6726905402478324,-2.253946448305655
23,-2.0,1.5495094720268734,0.9917850315535482,3.0,0.39809248172616546,0.41582134696130435
24,-2.0,1.04386481489507,-0.14007642881971522,2.0,0.9576089212182203,2.647937162408109
25,-2.0,0.44411911342023147,-0.0919213300452699,3.0,0.6327326791605576,-0.8803889239265059
26,-2.0,0.9048753383464535,1.0245760620514415,2.0,0.817918306449372,1.1047870174665266
27,-2.0,-2.23695653022111,1.0282742089920252,2.0,0.555031780811078,0.619832699443607
28,-2.0,-0.09512891256403416,0.06990707904083736,2.0,0.6974752505842139,4.698789406798424
29,-2.0,-1.0463047317391412,-0.0624766588922665,2.0,0.510847284121029,0.6386119915634347
30,-2.0,2.428965521690446,1.0892825827938635,2.0,0.33241632033140045,2.828023608874261
31,-2.0,0.0795700672658045,1.0179726437242476,2.0,0.28117140374938965,2.090479146797062
32,-2.0,-0.38838208519157974,0.96109094008073,2.0,0.4744442702316941,-0.36057249108533496
33,-2.0,-2.4077949882026948,-0.027806559504528778,3.0,0.45177673570111654,-3.2164742328067986
34,-2.0,1.7429397220353466,0.052500994120410545,4.0,0.5470830598017777,5.764559413266817
35,-2.0,-2.646223968040813,-0.038872718899658876,2.0,0.7769069121463971,-1.6091815457075422
36,-2.0,0.33217594937521455,-0.1497837771862685,2.0,0.5372731848299213,-1.5884498166576329
37,-2.0,2.6167696320371787,0.8994980047094764,3.0,0.8339361265348466,6.464445525869102
38,-2.0,1.3650746311174091,0.9806191338094241,3.0,0.30798042924051044,-0.2649180955180015
39,-2.0,2.5000526060563724,-0.16116906319536403,2.0,0.5950737295407691,3.25840756616182
40,-2.0,-0.8125850911263457,1.0486527498106537,3.0,0.5797823630802228,-0.9021799842152431
41,-2.0,3.6960930531759653,0.9986781173388619,3.0,0.7250232996616405,0.05323100645293777
42,-2.0,2.7597246015074584,0.12555631705284304,3.0,0.8175311472795073,7.669019595573744
43,-2.0,1.1553988588778359,1.0733147507070193,2.0,0.4067049487218918,2.4415689985005438
44,-2.0,-4.351755687240353,-0.0014892253860374794,3.0,0.5158249766965377,-4.559740730667235
45,-2.0,1.0032703426924092,0.7441467741318954,4.0,0.27740701770918963,-1.1946903807269837
46,-2.0,1.1544591983820058,0.017077511044782282,3.0,0.7316866421695268,-3.784394591987832
47,-2.0,1.6658652196369113,0.9174320978006779,3.0,0.586221137436901,3.255627065749956
48,-2.0,-1.7259902815654287,0.9153246587935515,3.0,0.6444621926347708,-2.3360531464374077
49,-2.0,0.8062884578862776,1.0838255844569598,2.0,0.9655140969388463,0.6659661733742385
50,-2.0,2.167820944508871,1.015435896582655,2.0,0.6596893209671221,-1.0062485563907873
51,-2.0,0.6943680020056875,0.03726339477814072,2.0,0.7339001584665716,2.071898085578365
52,-2.0,0.19968146393887168,1.0943227747524698,2.0,0.6001335425064098,-3.8744882546882033
53,-2.0,-0.545455114277321,1.0123043982831292,3.0,0.5088556116117875,1.5464833605045982
54,-2.0,0.3569200063839201,1.1319794700375088,4.0,0.5904208722030748,1.3351555951418153
55,-2.0,-2.4408730733068547,0.08621373095378629,2.0,0.2588991158856754,-4.941713303463553
56,-2.0,0.8325558796128915,0.9608017306119637,3.0,0.5663326324626264,2.5686774451883996
57,-2.0,1.287918799436389,0.9818160746407455,4.0,0.45344645241741105,-1.9261223209364213
58,-2.0,-0.28158713076282194,0.8040237875579362,2.0,0.6416573984779278,1.2890983915096688
59,-2.0,-0.9236242935999519,0.8403648917308761,3.0,0.6387739288117679,-3.6158026052425236
60,-2.0,-0.9750709031755288,1.0642068486609086,2.0,0.37964931293198667,1.3192175473696237
61,-2.0,1.2120874291451165,0.9448958198789295,2.0,0.27818031139468496,-2.5865942755563793
62,-2.0,3.7875502815116677,-0.18294208152731214,2.0,0.6517670029948047,5.309855740085354
63,-2.0,-2.3866586065452116,0.9730840291072367,3.0,0.507084400967922,-4.495678423076154
64,-2.0,-0.07398257267170671,0.960912291511906,2.0,0.8340713956536698,2.3946337443655654
65,-2.0,0.1081221872133305,-0.0654798151892168,4.0,0.6829985155598298,0.6975029241787005
66,-2.0,-0.2656341014520307,1.0124733130234305,2.0,0.5299648827463702,-0.6124262195036638
67,-2.0,1.7125962156260373,-0.20772524534477094,3.0,0.8001661587881604,0.44063659005451106
